video_id,comment,reply,comment_date,reply_date,video_title,category_id_x,channel_name,category_id_y,category,reply_dimension,comment_dimension,source,target,comment_node,reply_node
hhy97Q-JWnQ,"What a performance! Plain perfection!
The instrumental are so harmonious with Ray's voice.
I guess that's what heaven sounds like.",I think Genesis was wrong to ditch Ray after 1 album/ tour. I actually like him better than Phil of that period.,2011-06-26T22:32:03Z,2021-04-01T20:27:18Z,RPWL - Roses (with Ray Wilson),10,Alejandra Leiva Briceño,10,Music,similarity,social_support,1,14,C_social_support,R_similarity
r6WiH4-o1y8,I love how obvious it is that Danneel is the dominant one in their relationship and Jensen loves every bit of it. They are the best.,"If Daneel is dominant, I can guarantee Jensen despises her for it. But I don't think Dannel is dominant, she tries to be, but Jensen has too much masculinity.",2020-12-27T05:00:17Z,2022-06-29T16:21:13Z,Danneel Ackles and Jensen Ackles in the Golden Globes Elevator | InStyle,24,InStyle,24,Entertainment,conflict,romance,4,13,C_romance,R_conflict
r6WiH4-o1y8,"I adore Jensen and Danneel.
I obviously missed something. The Golden Globes is an invite only event. Was Supernatural invited to the Golden Globe Awards?","I believe they were invited to the party but not to the actual Golden Globes. It's like only being invited to a wedding reception but not to the actual wedding, lol.",2020-11-26T16:25:29Z,2020-12-27T05:08:24Z,Danneel Ackles and Jensen Ackles in the Golden Globes Elevator | InStyle,24,InStyle,24,Entertainment,conflict,social_support,1,13,C_social_support,R_conflict
pXz7-11XT2I,At first it would be cool but after some period of time i think that exhaust fart after every single upshift or downshift would get into my nerves.,"Only happens when your really on it, everyday driving it's fine.",2014-02-27T18:53:05Z,2014-03-19T11:07:25Z,0-100/Exhaust Sound : Mercedes GLA 45 AMG (Option Auto),2,Option Auto,2,Autos & Vehicles,similarity,conflict,0,14,C_conflict,R_similarity
8q9t-noMJT4,Early gen alpha like 2013 is not meant to be in gen alpha 😭😭😭😭,It's your fault you are born in 2013 tell it your mum 😢,2025-05-19T12:11:31Z,2025-05-19T13:10:52Z,You're from which generation#aestheic#trending#fyp#shorts,22,𝐇𝐗𝐍𝐄𝐘,22,People & Blogs,conflict,conflict,0,13,C_conflict,R_conflict
3wR5--4G4vk,"Sorry there’s something I don’t understand. Isn’t there a distinct difference between the two uses of electricity mentioned here? Bitcoin is not a storage of power, it simply proves that an X amount of power has been generated to produce it. On the other hand, the electricity that have to be transmitted through wires can provide a productive source of energy (stored in generators, light up houses, roads etc). Or are they mainly discussing electricity in terms of intangible goods (finance SOPs, KYC/AML)?
Sorry I would just like to understand more, thank you 🙏","Just watched the video again, and this is what I interpreted from the first section:
- areas with Low cost electricity are able to mine bitcoin
- they sell these bitcoin for higher price (large profit margin)
- the profits allow them to buy more resources than what the cheap electricity previously allowed

My qualm with this would then be: wont we be increasing total world electricity input? It still does not provide new utility, but rather it brings a huge upside to areas with cheap electricity (typically large land mass, cold areas). 

I wonder if im getting this right…",2021-12-06T02:41:28Z,2021-12-06T02:49:19Z,Pomp Reacts: Jordan Peterson Gets ORANGE PILLED,28,Anthony Pompliano,28,Science & Technology,knowledge,knowledge,3,12,C_knowledge,R_knowledge
3wR5--4G4vk,"That doesn't make sense to me. How is bitcoin going to bring energy from Northern Canada to Toronto? 
Just because you use electricity to mine bitcoin doesn't mean that the bitcoin is now a transferable energy source. 
I still need to get actual energy from the source to the destination. I can't power things with bitcoin, unless I spend it on things.. which I can just do with cash.
I really don't understand how it transfers energy. Why doesn't this argument work with anything else? I use electricity to power a light bulb that lights up a room in which I build a product to sell for profit. Does that now mean this product is an energy source?","I believe it means bitcoin is used as a medium to transfer its value, not the electricity it self.  because people use bitcoin as a store of value, just like money. You sell your house, move to a different city, buy a new one, you just move your home. Its one of the key important attribute of money as a store of value that most people forget. A store of value through, not only time, but also space.",2021-12-03T03:04:30Z,2021-12-05T19:59:59Z,Pomp Reacts: Jordan Peterson Gets ORANGE PILLED,28,Anthony Pompliano,28,Science & Technology,knowledge,knowledge,3,12,C_knowledge,R_knowledge
3wR5--4G4vk,"He is wrong though.   Jbp is brilliant, but he is getting this wrong.  
He seems to think that mining bitcoin in cheap areas and using that money to subsidize expensive areas is the same as transporting the energy itself.

End of the day, mining USES electricity that otherwise would have been used elsewhere.   You can't escape that fact.   

Subsidising energy just increases demand for energy, this using more fossil fuels.","3:40 ""You can move the (key word) value of the electricity magically without any of the problems of transportation"". 
Also, it's not so obvious that the electricity used by miners near volcanos for example would have been used in other ways. 
Remember that the energy consumed by the bank system around the world is way more than what bitcoin consumes and has not the same elasticity of the bitcoin blockchain, where the miners can literally be anywhere in the world to make use of the more unthinkable energy sources.",2021-11-27T18:28:00Z,2021-12-04T11:51:55Z,Pomp Reacts: Jordan Peterson Gets ORANGE PILLED,28,Anthony Pompliano,28,Science & Technology,knowledge,conflict,0,12,C_conflict,R_knowledge
3wR5--4G4vk,I'd like to swallow this orange pill but can someone explain why the bitcoin network consuming cheap energy (and generating a store of value) is preferable to us bearing the cost of transporting the energy and actually using it?,"Same. None of this makes logical sense to me. How can you possibly “transport” energy in the form of Bitcoin? Energy is neither created nor destroyed, only transferred, right? So if there is a usage of electricity to mine Bitcoin, the transfer occurs when the wires heat up, the fans spin to cool the hard drives, and the screen glows. NONE of these things are captured in Bitcoin. I can appreciate Bitcoin for what it is, a digital token of gold, but this doesn’t make a lick of sense to me. Would love someone to explain it to me",2021-11-26T03:21:49Z,2021-11-27T18:56:58Z,Pomp Reacts: Jordan Peterson Gets ORANGE PILLED,28,Anthony Pompliano,28,Science & Technology,respect,conflict,0,11,C_conflict,R_respect
3wR5--4G4vk,This interest he has in the energy monetization part of it is what intrigued me about Bitcoin in the very beginning around 2009/2010.,If what you see is true then you are a genius.,2021-11-18T13:04:52Z,2021-11-18T21:28:30Z,Pomp Reacts: Jordan Peterson Gets ORANGE PILLED,28,Anthony Pompliano,28,Science & Technology,social_support,conflict,0,10,C_conflict,R_social_support
3wR5--4G4vk,"So if low energy costs attract Bitcoin miners, then this makes the miners more concentrated in a particular jurisdiction. Isn't that also a potential threat to the network?",No simplely because there are thousands of low energy locations on earth.,2021-11-18T12:41:40Z,2021-11-18T21:27:25Z,Pomp Reacts: Jordan Peterson Gets ORANGE PILLED,28,Anthony Pompliano,28,Science & Technology,knowledge,knowledge,3,12,C_knowledge,R_knowledge
3wR5--4G4vk,"My orange pill moment was when I understood that I can transform my time (work) directly into an energy asset that nobody can devaluate, and take it through time and space to use it whenever and whereever I want without losing purchasing power and even gaining it. Why would I want to hold any fiat currency?","Text♱➊➏➏⓿➋➐➒➏➏➋➎
Thanks~~~~<for watching and don’t forget to hit the like button and if you want <<advice...<and> invest...~~<~Textbelow! !~<~~📩📩",2021-11-18T09:26:18Z,2021-11-18T09:26:30Z,Pomp Reacts: Jordan Peterson Gets ORANGE PILLED,28,Anthony Pompliano,28,Science & Technology,social_support,conflict,0,10,C_conflict,R_social_support
3wR5--4G4vk,You can tell that Jordan took the orange pill because his skin turned orange. Jesus Christ he looks like Donald Trump,"Text♱➊➏➏⓿➋➐➒➏➏➋➎
Thanks~~~~<for watching and don’t forget to hit the like button and if you want <<advice...<and> invest...~~<~Textbelow! !~<~~📩📩",2021-11-18T09:01:41Z,2021-11-18T09:24:11Z,Pomp Reacts: Jordan Peterson Gets ORANGE PILLED,28,Anthony Pompliano,28,Science & Technology,social_support,conflict,0,10,C_conflict,R_social_support
3wR5--4G4vk,"The cognitive dissonance on display here is truly breath taking. JP is a very sharp guy, but burning fuel to produce electricity to mine crypto (that does not need to be mined) does no ""magically"" transfer electricity. All it does is waste energy and resources to create useless ones and zeros that only have value due to speculation.  BTW JP is not an advocate for crypto, he merely had a discussion about it weighing the pros and cons, more than likely he will also have discussions with people that believe it is a complete scam as well. He was just being polite.","Text♱➊➏➏⓿➋➐➒➏➏➋➎
Thanks~~~~<for watching and don’t forget to hit the like button and if you want <<advice...<and> invest...~~<~Textbelow! !~<~~📩📩",2021-11-18T08:42:47Z,2021-11-18T09:24:38Z,Pomp Reacts: Jordan Peterson Gets ORANGE PILLED,28,Anthony Pompliano,28,Science & Technology,social_support,knowledge,3,10,C_knowledge,R_social_support
3wR5--4G4vk,"I think the point is that if you use Bitcoin as an Energy coin, it can be made in an area where there is free or cheap natural energy put it in a minted Bitcoin and then transfer that to a country where Energy costs are high, potentially selling it for 10 years worth of energy (for example)  for the 3 months of energy cost it cost to be produced. This would level global energy costs. = Bitcoin is a store of energy value that can be exchanged for monetary value.","Text♱➊➏➏⓿➋➐➒➏➏➋➎
Thanks~~~~<for watching and don’t forget to hit the like button and if you want <<advice...<and> invest...~~<~Textbelow! !~<~~📩📩",2021-11-18T08:14:04Z,2021-11-18T09:26:19Z,Pomp Reacts: Jordan Peterson Gets ORANGE PILLED,28,Anthony Pompliano,28,Science & Technology,social_support,knowledge,3,10,C_knowledge,R_social_support
3wR5--4G4vk,"While Peterson is right, you are basically going to where the power is cheapest and then moving the value with great ease, but you aren't actually moving electricity that people could use to power their homes",this is correct. Producing electricity in those places is a waste because you cannot deliver it to people. But with bitcoin you generate a monetary value at those places and then it is not a waste. You still need internet connection however in those places which can probably be delivered only thorugh satellite connection. We could basically monetize Sahara desert with sun power cells and bitcoin mining.,2021-11-18T03:22:46Z,2021-11-18T09:15:39Z,Pomp Reacts: Jordan Peterson Gets ORANGE PILLED,28,Anthony Pompliano,28,Science & Technology,knowledge,conflict,0,12,C_conflict,R_knowledge
3wR5--4G4vk,Bitcoin is old tech lol. Proof of Work= Proof of Waste. Literally no other crypto uses POW as mining simply is not necessary anymore- we have proof of stake already lololol,The monetary system we have now is proof of stake. It doesn't seem like a straight game to me.,2021-11-18T03:09:56Z,2021-11-18T03:13:26Z,Pomp Reacts: Jordan Peterson Gets ORANGE PILLED,28,Anthony Pompliano,28,Science & Technology,conflict,knowledge,3,13,C_knowledge,R_conflict
3wR5--4G4vk,"<<Many people have been complaining about trading, trading is an art that requires maximum focus and attention. Trading is a lucrative opportunity as it leverages the market volatility and right now is a good time to take advantage of the market. This is because the market is unpredictable, and traders must react quickly to price moves. Also, in the absence of these two key ingredients, a trader might suffer a huge loss. Newbie traders also have a knack for seeking inspiration from established traders. I have been trading cryptocurrency for a while now but I was only able to make 13ƁƬƇ in 21days trading with signals from Dan Chris , a renowned trader that is always one step ahead. Dan kris can easily be reached on Tєlєɠгคm as [Danchrisp]..","Dan kris daily signal is at the forefront and one of the best when it comes to crypto trading, he has brought my financial situation to a higher level.",2021-11-18T02:05:54Z,2021-11-18T02:06:16Z,Pomp Reacts: Jordan Peterson Gets ORANGE PILLED,28,Anthony Pompliano,28,Science & Technology,social_support,power,5,10,C_power,R_social_support
3wR5--4G4vk,"I'm a btc maxi, love Peterson, but this seemed contrived af","Watch the original podcast, it's almost 2 hours long, not contrived at all. JP was learning new things about BTC.",2021-11-18T01:41:52Z,2021-11-18T02:53:19Z,Pomp Reacts: Jordan Peterson Gets ORANGE PILLED,28,Anthony Pompliano,28,Science & Technology,conflict,conflict,0,13,C_conflict,R_conflict
3wR5--4G4vk,Jordan Peterson is a genius and one of the most influential men of our time. Having him as a Bitcoin bull is huge,"No he's not, he still has his vices that truly prevent him from being a free thinker.",2021-11-18T01:12:30Z,2021-11-18T01:38:56Z,Pomp Reacts: Jordan Peterson Gets ORANGE PILLED,28,Anthony Pompliano,28,Science & Technology,conflict,conflict,0,13,C_conflict,R_conflict
3wR5--4G4vk,"Why would anyone take investment advice from him? This isn’t his area of expertise. 

Love Pomp’s videos - but he’s starting to invite or discuss too many celebrities and their opinions. Stick to crypto SMEs.","Who's taking advice from anyone? Their discussion of energy usage is quite profound and should be highlighted more, as it's been main critique of BTC.  It's as if this whole segment flu over your head. Geez.",2021-11-18T01:12:27Z,2021-11-18T01:29:29Z,Pomp Reacts: Jordan Peterson Gets ORANGE PILLED,28,Anthony Pompliano,28,Science & Technology,knowledge,knowledge,3,12,C_knowledge,R_knowledge
3wR5--4G4vk,You can't convert a Bitcoin to electricity. BUT you can mine it on the cheap and then use it to buy more expensive electricity somewhere else. The best you can hope is to use waste energy to monetize it. But you can't STORE the energy from a thermodynamic standpoint. This will fool a lot of people. It's not transporting energy.,In reality bitcoin mining is a very small energy footprint. Compared to something like our air-conditioner footprint. We could save a lot of energy piggy backing mining technology across our other appliances to use any wasted energy and proliferating the network.,2021-11-17T23:51:01Z,2021-11-18T00:06:08Z,Pomp Reacts: Jordan Peterson Gets ORANGE PILLED,28,Anthony Pompliano,28,Science & Technology,knowledge,conflict,0,12,C_conflict,R_knowledge
3wR5--4G4vk,"Anyone who gets orange pilled by Max and Stacy always know they're in for a wild ride there's no disputing that.  Glad more people are getting to know what's up with Btc bandwagon because with BTC reaching ATH again since May induced FUD sell off I know the market is finally ready to run again. There's no reason to spread FUD which will ultimately be insignificant because With the guide of Mica Sanchez's automated sig- nals based on unique combinations of trend, momentum and volume scanners used for predicting market reversals signaled the current 5th wave of this cycle which I've been on since August. He also employs glassnode on-chain analytics which indicates high volatility on several metrics. So far I've accumulated over 5BTC,. Don't be part of the 89 percent that will end up liquidating their position. Get on Telegram@micasanchez","Wow, Thanks for the info my inability to mitigate risk in time of stress has cost a lot trading.",2021-11-17T23:40:08Z,2021-11-17T23:41:35Z,Pomp Reacts: Jordan Peterson Gets ORANGE PILLED,28,Anthony Pompliano,28,Science & Technology,social_support,social_support,1,10,C_social_support,R_social_support
3wR5--4G4vk,Someone explain this to me like I'm 5 - I don't fully understand what his realistation is,"In order to sell energy, the energy must be shipped, which is a difficult and costly process, and as a result that energy often gets wasted. With Bitcoin, that cheap energy can be converted into money through mining. It's revolutionary. It's what people don't understand when they criticize the energy used by Bitcoin mining: much of that energy would have been otherwise wasted.",2021-11-17T23:13:24Z,2021-11-17T23:33:26Z,Pomp Reacts: Jordan Peterson Gets ORANGE PILLED,28,Anthony Pompliano,28,Science & Technology,knowledge,conflict,0,12,C_conflict,R_knowledge
KYG3-TlP1mY,"all your mushrooms are mouth-watering and very tempting. Your girl friend also by the way.  Congratulations sir!Coming back to C. sinensi, it is true that amateurs appreciate them very much. My Chinese friends eat them with the corpse of the caterpillar they grew on!",You don't just call someones girl mouthwatering and very tempting what the fuck 🤣 hopefully lost in translation,2021-08-30T00:11:53Z,2022-01-20T18:36:04Z,All About Cordyceps (FreshCap Friday Live 10-25-2019),26,FreshCap Mushrooms,26,Howto & Style,social_support,knowledge,3,10,C_knowledge,R_social_support
KYG3-TlP1mY,Sir in my country cordyceps is not available.so how can I start cultivating cordyceps .can you advise me the alternative way to cultivate cordyceps.,"Just get some spawns and grow them, i got my spawns from @mycojims on IG",2021-07-14T17:28:29Z,2021-08-02T18:09:12Z,All About Cordyceps (FreshCap Friday Live 10-25-2019),26,FreshCap Mushrooms,26,Howto & Style,trust,social_support,1,15,C_social_support,R_trust
KYG3-TlP1mY,I dont want to be that guy but cordyceps are fungi not mushrooms lol,A mushroom (in the general sense) is a fruiting body of and from mycelium.  Cordyceps is a fungi.  It also produces mushrooms.,2020-10-30T06:03:49Z,2021-02-23T22:39:05Z,All About Cordyceps (FreshCap Friday Live 10-25-2019),26,FreshCap Mushrooms,26,Howto & Style,knowledge,knowledge,3,12,C_knowledge,R_knowledge
KYG3-TlP1mY,"Facinating Tony, Really, i am a beginner in mycology :) running only 3 jars right now BRf method, but ye, too poor you know, too poor, othewise i would buy your powders, espesialy for imune system, the green bag they really interest me 😊 keep on growing",Thanks for watching! And very cool that you are learning to grow mushrooms :),2019-10-25T18:03:56Z,2019-10-25T18:17:17Z,All About Cordyceps (FreshCap Friday Live 10-25-2019),26,FreshCap Mushrooms,26,Howto & Style,knowledge,respect,2,12,C_respect,R_knowledge
R-eW8L-mDK8,This is literally my favorite song in the world right now. I listened to it on repeat for an entire 10 hour work shift. No joke.,"i understand I listen this track like you, repeat and repeat and repeat again, my wife wants to divorce, no problem when I can listen this track alone for the rest of my life ...",2022-08-18T00:51:26Z,2023-03-14T12:39:09Z,"VR SEX - ""Walk of Fame"" (Official Video Starring Angelyne)",10,Dais Records,10,Music,social_support,similarity,6,10,C_similarity,R_social_support
R-eW8L-mDK8,Hey this really sounds like my favorite band Drab Majesty ; ),That's because both VR SEX and Drab Majesty are Andrew Clinco's musical projects,2022-02-16T03:25:13Z,2022-02-17T22:09:06Z,"VR SEX - ""Walk of Fame"" (Official Video Starring Angelyne)",10,Dais Records,10,Music,conflict,social_support,1,13,C_social_support,R_conflict
R-eW8L-mDK8,"would love to see this band live one day.
your music videos are iconic btw",i saw them saturday best day ever man met andrew it was amazing,2022-02-15T20:36:20Z,2022-04-12T15:01:49Z,"VR SEX - ""Walk of Fame"" (Official Video Starring Angelyne)",10,Dais Records,10,Music,social_support,romance,4,10,C_romance,R_social_support
JRw3-snKYtk,"Praying that God would intervene, and stop the war in Ukraine🙏🙏🙏",....??? .....exactly...which god are you talking about ?? .....and is he / she / it even listening to your worthless prayers ??,2023-04-05T14:25:50Z,2023-04-05T23:24:32Z,"NATO ""Thanks"" Putin, Russia Fires ""20 Guided Bombs Daily"", Abrams Ammo In New US Aid For Ukraine",25,CRUX,25,News & Politics,social_support,trust,7,10,C_trust,R_social_support
JRw3-snKYtk,"31 countries against one country, Russia is too powerful for them. Why NATO can't send troops to Ukraine,  Russia will crush them , they scared","Nato is not mad like ur Russians. If they send their troops, it will become a nuke war. Dumb people will not understand this",2023-04-05T08:45:48Z,2023-04-05T16:18:24Z,"NATO ""Thanks"" Putin, Russia Fires ""20 Guided Bombs Daily"", Abrams Ammo In New US Aid For Ukraine",25,CRUX,25,News & Politics,conflict,power,5,13,C_power,R_conflict
JRw3-snKYtk,"Losing grounds in Bakhmut at a rapid pace for the past week , and still these ukrainian says they're repelling Russian attacks. 🤣","wdym rapid pace? you also can't just go OH UKRAINE LOSING A LOT IN A WEEK, the things stalled for a month straight and no it wasnt much lost it was 3 blocks.",2023-04-05T04:13:47Z,2023-04-05T05:45:40Z,"NATO ""Thanks"" Putin, Russia Fires ""20 Guided Bombs Daily"", Abrams Ammo In New US Aid For Ukraine",25,CRUX,25,News & Politics,knowledge,conflict,0,12,C_conflict,R_knowledge
JRw3-snKYtk,Russsian officials knows 100000000% nobody dares to invade russia because they possess nuke powerful than north korea. Russian terrorists official just want to justify their blunder they committed  in ukraine,Why would the west invade ruskieland..  it's just a cheap discount version of the 1980s... 😂,2023-04-05T02:26:03Z,2023-04-05T02:55:13Z,"NATO ""Thanks"" Putin, Russia Fires ""20 Guided Bombs Daily"", Abrams Ammo In New US Aid For Ukraine",25,CRUX,25,News & Politics,conflict,respect,2,13,C_respect,R_conflict
JRw3-snKYtk,"What are Russia's countermeasures? Answer: Bla,Bla,Bla, Nuclear. That's all they have. Nuclear blackmail.","Nuclear blackmail, and blabbing continuously about where these assets are. Last time I checked, Belarusian security wasn't so great. Oh well, more free gifts for NATO.",2023-04-05T00:46:36Z,2023-04-05T07:13:39Z,"NATO ""Thanks"" Putin, Russia Fires ""20 Guided Bombs Daily"", Abrams Ammo In New US Aid For Ukraine",25,CRUX,25,News & Politics,power,conflict,0,16,C_conflict,R_power
JRw3-snKYtk,"Russia: we have no problem with Finland joining nato

Finland: joins nato

Russia: wait you can't do that","Zelensky for 6 months: Bakhmut is not important
Russia Wagner Group: Okay, we will try to take it
Zelensky: West, i need amo as bakhmut cannot fall as it will open gate to Kramatorsk....",2023-04-04T23:38:01Z,2023-04-05T03:38:03Z,"NATO ""Thanks"" Putin, Russia Fires ""20 Guided Bombs Daily"", Abrams Ammo In New US Aid For Ukraine",25,CRUX,25,News & Politics,knowledge,conflict,0,12,C_conflict,R_knowledge
JRw3-snKYtk,"But the USA has nuclear missiles stationed throughout Europe. That does not make Europe safer, but puts it at risk. Now look at what Russia is doing in response.","Russia would have invaded raped most of Europe without US/NATO to stop russia. Europe is now no longer at much  risk. Don't ever forget russia and Germany invaded Poland to start WW2,  russia tried to start WW3 by invading Ukraine but is failing miserably.",2023-04-04T23:29:21Z,2023-04-05T00:14:00Z,"NATO ""Thanks"" Putin, Russia Fires ""20 Guided Bombs Daily"", Abrams Ammo In New US Aid For Ukraine",25,CRUX,25,News & Politics,conflict,knowledge,3,13,C_knowledge,R_conflict
