video_id,comment,reply,comment_date,reply_date,video_title,category_id,channel_name
ukICh--xl1o,"For the first time, my eyes were on Satsuki 👍🏻👍🏻🥰 well done guys !!","Same here. 🤷🏻‍♀️😁 I saw Satsuki one other time with Vik, and couldn't take my eyes off him.",2023-10-06T14:20:50Z,2023-10-06T20:22:05Z,Something New - Vik x Satsuki,24,Isaiah Shinn
ukICh--xl1o,"Satsuki is so fluid, effortless, and the smile  complements his dance. Great pairing, two masters at their craft.",I agree - two of the absolute best!  I love the robotic moves - so precise!,2023-10-06T13:50:11Z,2023-10-07T04:12:50Z,Something New - Vik x Satsuki,24,Isaiah Shinn
0iZ5-evl_m0,"250 spirit shards within a week is quite a tough order, i assume you sit on a bunch of them, if not i think it is quite difficult to make one legendary per week, unless you have20+ alt chars e.g.","@@boonsterboom3470 i right now am at 200 spirit shards, i build 250 every week.
I just do daily fractals and i get enough by transforming relics into spitit shards",2024-12-18T10:48:14Z,2024-12-18T13:28:40Z,How many legendary spears can you make a week?,20,Darens To Hero!
0iZ5-evl_m0,"For new player that don't have much of a grasp of the basics, which come naturally for the vets of the game information like this serves as more of dual edged sword. Making legendries as new a player is not fun; it's a daunting task filled with frustration and pain. Take the new legendary armor, at first glance it seems like all I have to do is collect these materials and or buy these materials and combine it to make prerequisite materials that combine into something else, that is until you start trying to unlock achievements and have to remember what you've already unlocked so you're not wasting materials. And the fact things you unlock and have no need for stay present creating another pitfall for more mistakes, most end up giving up or quitting altogether. What this video does well is make it so more vets of GW2 can essentially make more legendries to flood the market, thus driving the price down so new players have alternate routes for acquisition of sought after items. As a new player taking a break after having issues chasing the legendary gear it's nice to see the community continue to make up for Anets inability to support a good new player experience.","even though I agree with this for legendary armor and stuff like this, for this legendary or generation 3s this is not the case , as it only really requieres a bit of farming and map completion and once you are done you can do it over and over to make gold forever",2024-12-17T00:18:36Z,2024-12-17T00:24:03Z,How many legendary spears can you make a week?,20,Darens To Hero!
0iZ5-evl_m0,To profit from Nyr Hrammr (precursor) is such noob trap. In price not included Standing Stones Timepiece and  Bearkin War Helm price its 50 Amalgamated Gemstone more. And Deldrimor Steel Ingot and others time gated materials included as craft if you buy it cost more + tp 15% tax for selling. If you sell for 440 gold profit 20-25 gold ( if you have infinity of Vision Crystals ) if not you exchange 25gold for 120 Spirit Shards.,"this is kinda true BUT its still worth doing for the profit it gives, it givees you more than 100 gold profit,
all the deldrimor steel ingot is part of the profit calculation idk why you would put that in here.

yeah sure the vision crystals are kind of annoying but most people will have them cause until then there is no reason to actually use them.

Saying this is a noob trap is just misleading,
you can make a good amount of gold as long as you make the right decision on this.",2024-12-16T16:26:39Z,2024-12-16T17:55:00Z,How many legendary spears can you make a week?,20,Darens To Hero!
iuIHHG-yS5o,Apple be making floating phones that bloody fly in autopilot when youre too lazy to hold it,"Lol😂😂 
You got me rolling on the floor while laughing bud🤣🤣☠️☠️",2024-09-28T04:04:41Z,2024-10-13T01:28:26Z,Evolution of phones be like…   @Onevilage,24,Speed McQueen 
iuIHHG-yS5o,"That iPhone 20 be like my father…



FOR EVERYONE SAYING “Sorry for your loss”
This was supposed to be a joke 😭🙏 I’m sorry for joking about it tho bc it isn’t reasonable material to mess around with. Sorry to the people who thought this was Fr 🙏",Your father passed away if did sorry for asking  RIP ur dad if he passed away,2024-04-04T18:33:13Z,2024-05-05T11:21:18Z,Evolution of phones be like…   @Onevilage,24,Speed McQueen 
tjb-0LMD-aY,I still wish he had pulled it off.  Santino was so much more of an MVP in WWE  than del Rio.,"*Right bro, I also wanted him to win,,,he iS one of my all time favouriteS and I Still want him to make a comeback to WWE,,,but he iS GM in TNA,,,*",2025-02-06T17:05:46Z,2025-02-06T17:19:05Z,Santino Marella ALMOST WON The Royal Rumble #wwe #wrestling #shorts,24,WRESTLE OTC-7
0LmD-cL4-44,Ok I hope you know she was making a skit as a joke so don’t I come at her bro. And that’s kinda cringe,🤦‍♂️🤦‍♂️🤦‍♂️ I can’t stress this enough. I AM ACTING 🎭 IT’S NOT REAL EMOTION. I AM FULLY AWARE THAT SHE WAS MAKING A SKIT.,2023-07-18T08:25:17Z,2023-07-18T11:30:28Z,That One Student In Class #shorts #relatable #school,22,CJ Levi Bain
bzXw-Vs_8mY,So well said! Wish there were more father's who thought like you!,"And if we don't think like him, we're NOT a good man?",2025-05-03T06:54:54Z,2025-05-03T12:41:24Z,"Dad Dumped Her Boyfriend, and Took Her on a Date",24,Pastor Mark Driscoll
bzXw-Vs_8mY,"I dumped a guy for my step-daughter. I finally asked her what was going on, and she told me that he would not take no for an answer. 

I heard her crying in her room. Hushed words between them.

I walked in, told him it was time to leave. Walked him to door and told him he is done with my daughter. And if I ever see him again, he'll be meeting Jesus early.

I got her some Wendy's chili cheese fries. Did not say much beyond that. I was just there for her, which is what she needed.","Two boyfriends later, I have the honor to walk her down the aisle this year.",2025-05-02T13:01:09Z,2025-05-02T13:02:49Z,"Dad Dumped Her Boyfriend, and Took Her on a Date",24,Pastor Mark Driscoll
bzXw-Vs_8mY,"Dealing with your own relationships is a key to growing up, learning. Dont do everything for your kids, you are creating incapable adults who are not facing life problems.","No a teenager does not have the capacity to handle this and NEEDS help from adults. I needed help from adults when I tried to break up with my boyfriend in high school and he wouldn’t let me breakup with him. I didn’t know what to do!
Most teens aren’t emotionally intelligent enough to be dating in the first place, but it’s a good learning experience WITH the help of caring parents.",2025-05-02T07:46:42Z,2025-05-02T13:22:58Z,"Dad Dumped Her Boyfriend, and Took Her on a Date",24,Pastor Mark Driscoll
bzXw-Vs_8mY,"“If you’re always tough your not a good man, if your always tender your not a good man.” Absolute gold!!!!  Are you a peaceful man, or are you a harmless man?” They are not the same!!!",I would rather be a warrior in a garden than a Gardner in a war!!,2025-05-02T03:07:15Z,2025-05-02T14:13:16Z,"Dad Dumped Her Boyfriend, and Took Her on a Date",24,Pastor Mark Driscoll
bzXw-Vs_8mY,"What an awesome chunk of his speech, love this idea.  I hope my child never has the bad fortune to date a bad dude masquerading as a good dude, but I would happily do this for them",Your daughter will  feel loved and protected. She'll cherish that memory as an adult.,2025-05-02T00:43:12Z,2025-05-23T15:46:21Z,"Dad Dumped Her Boyfriend, and Took Her on a Date",24,Pastor Mark Driscoll
bzXw-Vs_8mY,"I miss going on dates with my dad. Tragically, no other guys ever lived up, and all we ever did was go out to dinner or to movies. 
Our last date was to a showing of ""The Wizard of Oz."" He passed away less than a year later. 😢","At least you have the memories of doing that.  My dad is still alive, i remember when he took me to see soccer games at the rose bowl.",2025-05-01T13:48:11Z,2025-05-01T15:37:14Z,"Dad Dumped Her Boyfriend, and Took Her on a Date",24,Pastor Mark Driscoll
bzXw-Vs_8mY,I'm not even shocked about how quickly some people immediately sexualised this into something creepy.,This guy has a history of sexual misconduct and many don’t trust him,2025-05-01T07:33:58Z,2025-05-01T12:50:12Z,"Dad Dumped Her Boyfriend, and Took Her on a Date",24,Pastor Mark Driscoll
bzXw-Vs_8mY,"I wish my dad had done this in high school. He  was too nervous to even tell me what he thought of the guy until after things ended. The guy was really emotionally abusive, too old for me, and I was in way over my head. My dad is a wonderful human being, but I wish he wouldn’t have had such a hands-off approach to my dating life. I really could have used the guidance.","He wanted you to learn through your experience and choices.  Telling somebody rarely works.

Being there to support and hold the pieces as you learn is the hard, Dad job.",2025-05-01T04:27:46Z,2025-05-09T00:14:17Z,"Dad Dumped Her Boyfriend, and Took Her on a Date",24,Pastor Mark Driscoll
bzXw-Vs_8mY,"I'll be honest, I'm a trying Christian, but there is something about this guy I just don't like/trust! I can't pin point it but....","He dates his own daughter, I mean I can hear the banjos from here in the rocky mountains.",2025-04-30T20:24:13Z,2025-04-30T22:07:53Z,"Dad Dumped Her Boyfriend, and Took Her on a Date",24,Pastor Mark Driscoll
bzXw-Vs_8mY,Donald Trump said i love this guy i can finally date my daughter. 😂😂😂,and now Biden feels better about showering with his granddaughter 😂,2025-04-30T14:53:40Z,2025-04-30T21:43:02Z,"Dad Dumped Her Boyfriend, and Took Her on a Date",24,Pastor Mark Driscoll
bzXw-Vs_8mY,Not teaching your daughter how to do hard things is detrimental to their ability to do things on their own. If daddy takes care of everything then he’s a bad father,"Soo, if he leaves her to drown in a bad  relationship, does that make him a better dad? 
Every situation is unique. No one is perfect.",2025-04-28T00:08:02Z,2025-05-01T21:32:00Z,"Dad Dumped Her Boyfriend, and Took Her on a Date",24,Pastor Mark Driscoll
bzXw-Vs_8mY,"My Dad died when I was 9 I miss him so very much, it definitely scarred my heart😢",I am sorry for you. We have a loving Father when we miss our Earthly one,2025-04-27T15:28:27Z,2025-04-30T17:08:04Z,"Dad Dumped Her Boyfriend, and Took Her on a Date",24,Pastor Mark Driscoll
bzXw-Vs_8mY,"I wish every daughter had a father like this. One who is present for her. One who shows her how she should expect to be treated. One who sets a pretty high bar so she knows what good treatment looks like, and she knows what she deserves.",Every Christmas season my daughter picks out a dress for herself and a shirt/tie for me. I put on my suit and we do dinner and a play. She’s 8 and already excited for this years holiday date.,2025-04-27T11:23:17Z,2025-05-01T06:15:28Z,"Dad Dumped Her Boyfriend, and Took Her on a Date",24,Pastor Mark Driscoll
bzXw-Vs_8mY,I was definitely a dirtbag as a young man. A father letting me down gently would have been preferable.,A lot of guys did that. But then suddenly when THEIR daughter is dating a dirt bag all of a sudden Dad is flipping out. Kinda like karma.,2025-04-27T05:34:10Z,2025-04-27T18:54:48Z,"Dad Dumped Her Boyfriend, and Took Her on a Date",24,Pastor Mark Driscoll
bzXw-Vs_8mY,I would never say the words to a daughter we're going on a date. This is really bad advice and a bad message and terminalogy. I can't believe this is something that has been said to any daughter. One thing is being a chaperone. But to express it as dating a dad brings lots of issues along with it. Bad message. Run from this idea it's not even biblical in any way shape or form.,"Plenty of people in this day and age call chilling with kid (son/daughter) be it mum or dad call it a  date, they are not meaning it in a way of sexual, but in knowing each other and actually communicating with said child. A good date in a relationship will hopefully be communicating not just seduction",2025-04-27T02:10:46Z,2025-04-27T04:38:08Z,"Dad Dumped Her Boyfriend, and Took Her on a Date",24,Pastor Mark Driscoll
bzXw-Vs_8mY,I was the bad guy who had been broken up by the dad and let me tell you that was not pretty. I almost punched a 40 year old man in the face because he told me I didn’t know what love was when I tried to explain to him I wanted to marry his daughter. I bet it was way easier for her though because she didn’t have to deal with any of it. She sicked her dad on me like a wild dog and he caused a scene in front of my whole family. It wouldve been so much better for me if she would’ve been the one breaking up with me. Instead everything blew up in my face and it made me feel more alone in my life than I ever have before. I do agree that fathers should step in when a moment comes like this with their daughter as long as they are doing it the right way. Everything that happened to me was the wrong way and it was more damaging than if she would’ve broke up with me.,"According to what you said, why were you the bad guy and do you think that's the reason why the daughter didn't have the courage to break up with you herself. 
Perhaps she was afraid to or didn't know how to go about it.",2025-04-26T16:26:18Z,2025-04-26T17:35:55Z,"Dad Dumped Her Boyfriend, and Took Her on a Date",24,Pastor Mark Driscoll
bzXw-Vs_8mY,"My parents did this for me when i was 17. I was in a really bad relationship but i didnt see it at the time. They broke up with him for me and then right after they were like ""lets go out to eat"" while we were driving there, and while we were eating we talked about it and they told me all the stuff they had been noticing in the relationship and the toxic traits his mom told them about. I felt so relieved. Sad cause my relationship just got ended, but relieved that i didnt have to deal with it anymore. I felt very loved and protected and that was the easiest relationship to move on from too.","In another life my parents would have protected me like this. But now that I know what this version looks like, I'll do it for my kids instead, thanks for sharing 🫶🏻",2025-04-26T15:10:40Z,2025-04-27T09:57:16Z,"Dad Dumped Her Boyfriend, and Took Her on a Date",24,Pastor Mark Driscoll
bzXw-Vs_8mY,He just taught his daughter how NOT to be accountable.  I'm big on you start the relationship it's up to you to end it.  Don't start what you cant end.,"As the brother of 3 sisters, I can tell you firsthand that it's not about her being accountable, but being safe.

A lot of people are GREAT when the relationship first starts, and then their true colors start to show.

They become dangerous, and it becomes dangerous for them to break up with someone, especially if they become abusive.

Some even begin making veiled threats about what would happen if she ever left him - narcissistic emotional manipulation. 

You know how many times between me and my dad my sister's exes just broke up with them for no reason?

They didn't need to be accountable... they had accountability at home.",2025-04-26T14:23:48Z,2025-04-26T15:10:34Z,"Dad Dumped Her Boyfriend, and Took Her on a Date",24,Pastor Mark Driscoll
bzXw-Vs_8mY,I know you didn't just teach your daughter how to effectively simply move on to the next guy😂😂😂😂,"I don’t really think that’s the point of the story lol also, most of the time women go from guy to guy because they didn’t have that stable father in their life. That’s why it’s so important to be the father u need to be here and introduce her to the Heavenly Father which takes care of all needs.",2025-04-26T12:24:24Z,2025-04-26T12:54:06Z,"Dad Dumped Her Boyfriend, and Took Her on a Date",24,Pastor Mark Driscoll
CqOj6e-LjM8,THIS NEEDS TO BE FAMOUS I LUV IT AND THE ANIMATION❤❤,"Aww thank you so much, it really means a lot to me 🥺",2024-01-19T09:28:44Z,2024-01-19T11:07:38Z,"HAPPY BDAY TO MEEE!!! 🎉🎉🎉🎉.  Also, not so happy exams week 🫠 #gachalife2 #gachaedit #gacha",24,EmprxMileena
2eai-FLj4Lo,that is way too small for a bunny to live in,She’s just keeping him in there because it’s too cold outside in his normal cage! She gives them time outside the cage too ❤😊,2025-02-20T04:09:07Z,2025-02-20T04:12:52Z,He’s Made Such A Mess!!😫😭 #goviral #bunny #rabbitry #pet #cute #foryou #foryourpage #rabbit #funny,15,Rylee’s Rabbits
Fg7U-BhiZGE,"im not too long into it, but the referrense to coffee imo is a little lush. 

i thought long time addiction is addiction, but the older i get i realise addiction is chosen, please here me out i know this sounds super aggravating. 


we were on coffee, ok hypothethicaly make coffee illegal because of a reason, doesn´t make too much sense because the addicted dont care about your sense! 

you will see the same behavior like we saw in the prohibition time. 

the fact that something is not readily available adds to the factor "" i need it NOW (maybe i cannot get it later bec.[ the dude has no time, he ran out,he might took it himself]""

and i know you think ( no i would never do it over coffee) yeah i know sounds stupid to fight for coffee but people fight over much more stupid stuff, only bec they can. 

and no i don´t want drugs to become legal to use in  no time, because it would screw everyone who wasn´t raised with the knowledge to get it everytime, and you can see it on canabis users, the ones who smoked thou it was illegal have a much more higher distructive behavior to taking it now its legal, because they have it in the back of their minds ( it was illegal, it can become again, so take all the legal till its changing). 

i hope this sounds not like some gibberish, but my native tongue is german, and i hope it sounds logical, i´m a canabis user alcohol user who overtook it so long of a time till i asked myself the question, why ? and i came to the conclusion ( bec of coping) and i know altough i don´t really smoke much cana anymore i would probably smoke more if austria says its legal from now on. 

one of the greatest issues i have with alcohol, you can buy it, you can drink it, but do it too much and youre an outcast who nobody offers help because( they can buy it everywhere so its their fault)they dont have to. its a choice !! 

drug addicts otherwise mostly get met with ( ooooh you poor junkie yeah the bad drugdealers made you use it and now they let you down and your world breaks) 

imo we should collectivelly stop to get into victim mindsets and get souvereign enough as a human beeing to KNOW what to do. 

now ima listening to the rest of this video. 

PS: the guest is super likeable, it feels like its her mission, and that makes it 100 times more valuable when she speaks on this topic than a dude who only took the research bec it payed good,","its only an opinion dont based this on facts, i base this only on pure individual experience. and montioring my own/other personallly known user) (barely can hold her cry out)",2025-06-23T22:30:40Z,2025-06-23T22:46:34Z,They Lied About Alcohol’s Effect On Your Brain! Here’s The Proof | Dr. Sarah Wakeman,22,The Diary Of A CEO
Fg7U-BhiZGE,"As a cancer survivor I don’t think it’s fair to compare alcohol use and addiction to cancer. Sure there are comparable aspects as goes with any disease process but getting and dealing with cancer is not the same as substance use and alcoholism. There is a huge part of addiction that is about choice and choosing to engage with a substance use. A cancer patient doesn’t exactly get to choose to stop the thing that may have caused cancer if it even is something that’s identifiable and in many cases it’s not one thing but a multitude of things, many of which we are not even capable of understanding or measuring currently.","you cannot say that if didn't suffer from addiction. addiction is not a choice. I have all the sympathy for your suffering, but suffering is suffering no matter what causes it.  go see a heroin addict in a gutter and you'll understand what I mean.",2025-06-15T16:35:38Z,2025-06-22T17:37:43Z,They Lied About Alcohol’s Effect On Your Brain! Here’s The Proof | Dr. Sarah Wakeman,22,The Diary Of A CEO
Fg7U-BhiZGE,"What is this an AA comment section 
No alcohol here but I’m interested in the knowledge","Good, take it from a friend of Bill W., you don’t need to drink.",2025-06-14T15:26:59Z,2025-06-14T16:04:25Z,They Lied About Alcohol’s Effect On Your Brain! Here’s The Proof | Dr. Sarah Wakeman,22,The Diary Of A CEO
Fg7U-BhiZGE,My brother was mistreated by his partner by not giving a single thought of support only enabling the alcohol. He died in February and he was 57 years old .,She faked care but also faked her need for him to support her feed her focus only on her. It made him feel guilty and when he couldn’t care for her he died of starvation as she wouldn’t cook or care for his life in any sense of the word. She had a husband before him dying the same way.,2025-06-12T14:47:02Z,2025-06-12T14:50:22Z,They Lied About Alcohol’s Effect On Your Brain! Here’s The Proof | Dr. Sarah Wakeman,22,The Diary Of A CEO
Fg7U-BhiZGE,So she talks about how alcohol related cancer is on the rise and then she talks about meat being the leading cause of colon cancer. Why do doctors not put together that alcohol and meat is made from/ with grain that has been covered with roundup and has been shown to be in our food. Maybe put 2+2 together and realize the rise in cancer is because we cover everything in roundup.,Brilliant connection. I understand that alcohol actually decreases the bodies ability to utilize oxygen and the lack of oxygen leads to cancer as cancer thrives in an anaerobic environment so it's not just 1 thing but I appreciate the link you made! I certainly wouldn't have put that together.,2025-06-11T13:42:45Z,2025-06-23T21:48:54Z,They Lied About Alcohol’s Effect On Your Brain! Here’s The Proof | Dr. Sarah Wakeman,22,The Diary Of A CEO
Fg7U-BhiZGE,"All these people claiming x month/years sober - how much were you drinking before to make it that big a deal to stop?

Was it a weekly issue or daily consumption problem?",By the looks of it sounds like people who where almost blackout drunk daily/ more than once a week,2025-06-11T10:39:55Z,2025-06-11T14:12:07Z,They Lied About Alcohol’s Effect On Your Brain! Here’s The Proof | Dr. Sarah Wakeman,22,The Diary Of A CEO
Fg7U-BhiZGE,"I spent so many years of my life under the spell of cigarettes, depression and severe ptsd. Gained my freedom with the help of nature using mushroom (psilocybin) precisely. After my experience with shrooms five years ago every cigarette I lit up tasted like literal poison. I would take one hit and put out the cigarette. I haven't smoked since, no more depressive mood and ptsd. Few doses of shroom experience made a 15 year 2 pack a day smoker quit instantly.
Shrooms are life changing. There is no way you can put into words what it feels like..","I'm so very happy for you mate, Psilocybin is absolutely amazing, the way it shows you things, the way it teaches you things. I can not believe our world and our people shows less interest about it's helpfulness to humanity. It's love. The mushrooms heals people by showing the truth, it would be so beneficial for so many people, especially politicians and the rich who have lost their way and every other persons out there.",2025-06-10T07:54:40Z,2025-06-10T07:56:20Z,They Lied About Alcohol’s Effect On Your Brain! Here’s The Proof | Dr. Sarah Wakeman,22,The Diary Of A CEO
Fg7U-BhiZGE,Very intelligent woman...however I would ask her if she has ever recovered from an addiction? There is a difference between intelligence and wisdom.,"Yes, agreed. She strangely doesn’t mention AA which is the only thing that got me and millions of others who couldn’t stop, to stop drinking. I don’t think she is an alcoholic or understands alcoholics or alcoholism to that extent. 
My therapist I was seeing at the time in 2009 knew that I was not going to stop drinking unless I went to AA. When she eventually told me to go, and I eventually went to a meeting, I saw her husband there, something she neglected to mention.  I found a connection ruin with many others there and stopped drinking for 13 years didn’t need to back to therapy. 
Oh maybe that’s why she doesn’t mention it- (She’d be out of a job.)",2025-06-05T19:00:45Z,2025-06-06T01:12:50Z,They Lied About Alcohol’s Effect On Your Brain! Here’s The Proof | Dr. Sarah Wakeman,22,The Diary Of A CEO
Fg7U-BhiZGE,Her voice inflection up is driving me insane!!! 😂😂😂 But she’s lovely. And this message is so important. Way to go!,Inflection trauma where the rising tone sends men into panic. I bet she's single. A 3 hour lecture would drive me to drink after class.,2025-06-04T13:55:37Z,2025-06-10T06:41:35Z,They Lied About Alcohol’s Effect On Your Brain! Here’s The Proof | Dr. Sarah Wakeman,22,The Diary Of A CEO
Fg7U-BhiZGE,"So, 1 bottle of wine a night is not good?! 😮 How does one explain Keith Richard’s?! 🤔","My mother smoked all of her life and got stage four brain and lung cancer four years ago. Smokes heavier now and has outlasted everyone I know who has got cancer. On medication all her life and doesn't exercise. She's definitely not the norm but an exception, the majority don't last.",2025-06-01T20:18:39Z,2025-06-02T05:48:00Z,They Lied About Alcohol’s Effect On Your Brain! Here’s The Proof | Dr. Sarah Wakeman,22,The Diary Of A CEO
Fg7U-BhiZGE,"😭 My Dad died 12 years ago from cirrhosis. This episode is so important, hard to listen to, but SO important.",Psoriasis is different from cirrhosis. I’m just pointing out the difference. Rip to your father.,2025-05-30T19:38:38Z,2025-05-31T02:26:40Z,They Lied About Alcohol’s Effect On Your Brain! Here’s The Proof | Dr. Sarah Wakeman,22,The Diary Of A CEO
Fg7U-BhiZGE,"At one point you said that larger people have LESS body water and therefore get drunk faster. Whereas smaller people have MORE body water. 

This is incorrect?? 
Larger people have more body water. Anyone able to clarify this?","According to the web. Obese people have a lower amount of water, as a percentage of body weight, than leaner people. Maybe that's what they meant? Presumably the fat doesn't hold alot of water.",2025-05-30T19:21:43Z,2025-06-01T09:02:25Z,They Lied About Alcohol’s Effect On Your Brain! Here’s The Proof | Dr. Sarah Wakeman,22,The Diary Of A CEO
Fg7U-BhiZGE,"You’re completely neglecting the fact that most people who struggle with addiction are completely unaware or dismiss the affect their choices make to others. People don’t get kicked out because of addiction alone. They often have stolen, lied, damaged relationships and property. All I hear is this woman defending addicts like the substance abuse is the only issue they have and they’re doing everything else right.","Totally agree with you, she is making the innocent people the problem. 
Wonder how many addicts have lived with her in her home.",2025-05-30T18:52:53Z,2025-06-01T20:56:03Z,They Lied About Alcohol’s Effect On Your Brain! Here’s The Proof | Dr. Sarah Wakeman,22,The Diary Of A CEO
Fg7U-BhiZGE,"My older brother is in ICU getting treatment for liver, kidney and gallbladder issues. 
Please pray for my brother’s fast recovery. 
Thanks 🙏",May your brother find strength.  I'm praying for him. You are an amazing sibling to stand by him at a hard time.,2025-05-29T22:42:56Z,2025-06-16T04:15:25Z,They Lied About Alcohol’s Effect On Your Brain! Here’s The Proof | Dr. Sarah Wakeman,22,The Diary Of A CEO
Fg7U-BhiZGE,7:11 crazy how shes undermining caffeine addiction so much as an addiction specialist…,"Yes, thats not good. Having too much caffeine, is why i decided to go to decaf, and i really felt the difference over the first few days. Maybe its not as bad as other addictions, but to dismiss it, and even talk it up, is strange.",2025-05-29T21:18:02Z,2025-06-01T09:17:10Z,They Lied About Alcohol’s Effect On Your Brain! Here’s The Proof | Dr. Sarah Wakeman,22,The Diary Of A CEO
Fg7U-BhiZGE,I drink every day. Usually 5-15 drinks and I’m still alive,"I mean, yeah, but what about long term effects? I mostly worry about the degrade of mental capacity later in life. I don't want dementia.",2025-05-28T19:04:18Z,2025-05-28T19:24:32Z,They Lied About Alcohol’s Effect On Your Brain! Here’s The Proof | Dr. Sarah Wakeman,22,The Diary Of A CEO
Fg7U-BhiZGE,You talk too fast. Why do you do it. Slow it ..not wanting to go ahead..it's as if she wants to talk everything in 2 mnts. How pathetic. Logging off. She needs to learn to slow down. Not listening in with such guests,"Dude, some people just straight up talk fast. It's not that deep.",2025-05-28T18:03:32Z,2025-05-28T19:25:19Z,They Lied About Alcohol’s Effect On Your Brain! Here’s The Proof | Dr. Sarah Wakeman,22,The Diary Of A CEO
Fg7U-BhiZGE,Not to promote or defend alcohol consumption but there is no way that glass of white wine contains 3 units (30ml) of alcohol.,"According to the NHS, UK health authority, a 250ml glass of wine @12% abv is 3 units. Standard beer of 3.6% abv is 2 units for comparison.",2025-05-28T09:15:22Z,2025-06-01T09:36:58Z,They Lied About Alcohol’s Effect On Your Brain! Here’s The Proof | Dr. Sarah Wakeman,22,The Diary Of A CEO
